MONTH,TOT,ASIA,JPN,CHN,TWN,PIP,HKG,THI,MAL,SGP,IDN,IND,VET,MOL,MEAS,USB,AMRA,USA,CAN,EUPO,RUS,GER,ENG,FRA,OCEA,AUS
2013년03월,1010809,802172,288900,276479,42102,33825,34989,44086,15132,12368,14448,9989,10699,5572,11922,4203,79823,63216,12175,67015,14291,9223,11838,5778,19015,16032
2013년04월,972164,769215,202529,335069,35107,35029,30404,41131,20452,13149,16439,9868,10199,4899,10532,4025,81702,65260,11910,67453,16062,8631,10935,6957,13332,10458
2013년05월,919355,717333,222936,278723,41361,36607,23596,29640,16306,12388,14882,10010,9100,5059,10580,3673,82501,65251,12199,64904,15808,8511,9892,6519,13313,9956
2013년06월,1059082,845942,201163,399031,53808,40337,34872,19853,13039,18357,18839,13114,10608,5706,13300,3803,87846,70198,11370,66474,15088,8345,10439,6338,14095,11058
2013년07월,1205152,1007018,208219,569787,47728,42198,33408,21184,9420,9518,16892,13737,12485,5024,9647,3385,81071,63323,11360,65721,14539,8244,9554,7100,12962,10012
2013년08월,1358909,1155944,270582,642258,51403,41683,36798,18045,13732,10499,22869,14299,11241,6046,12036,3483,78819,59353,12543,69266,14631,8571,11040,7890,11821,8773
2013년09월,1156913,954558,246926,483518,46894,36006,27733,21411,17643,14129,16770,12485,11527,4929,11612,3970,79879,62646,11585,65877,12661,9443,10780,6536,14811,11647
2013년10월,1087974,855118,245021,343273,49564,35584,42991,40097,23217,17806,16096,10970,10700,4990,13507,4515,92272,72149,12972,78286,16016,10816,12540,7929,14657,11148
2013년11월,907901,728867,222797,276428,42561,25777,36106,32640,26010,18698,13399,8079,8486,4970,11100,4015,67570,53894,9672,61781,14236,8487,8852,5981,10393,7831
2013년12월,928599,757457,215050,276234,43526,25925,38677,37679,29985,32725,20157,7768,7758,4792,9158,3296,65610,52852,9568,53787,14721,6165,7824,5288,14664,11172
2014년01월,842671,675008,172077,296708,45282,25366,35077,34427,12768,9005,11771,8532,5661,5476,9059,3405,62532,50347,9233,59896,15763,7140,10970,5210,12424,9073
2014년02월,886026,727604,189722,326295,46705,23240,35881,33786,13570,8080,10880,7869,12942,5370,10155,3677,60769,48546,8950,54975,14173,6897,8010,5383,9251,7106
2014년03월,1132155,922021,247262,423768,47097,32234,35208,42507,20411,14996,15445,11289,11202,5464,13465,4577,81278,65001,12072,73272,17994,9044,12292,6656,12097,9787
2014년04월,1251374,1026583,179593,531947,51360,45529,55795,46365,25550,18592,20835,12632,14006,4949,13086,4819,88199,70195,13027,76690,20358,8958,11141,7265,16529,13689
2014년05월,1239606,1021253,201489,517031,60105,43917,47064,41569,21358,17748,22278,13204,13464,4724,12756,3990,86204,67928,13103,73554,19286,8832,10617,6939,15311,12103
2014년06월,1273627,1048022,173056,573852,60849,45683,54884,29404,15978,21010,21748,17470,12820,5408,12936,3594,92655,74925,12028,74808,20047,7720,11029,6390,15812,12662
2014년07월,1354753,1138334,172427,692053,62042,40005,48766,33084,11201,10550,20498,15054,12393,3883,11269,3711,86245,68180,12865,76260,20080,8306,12116,7358,15828,12261
2014년08월,1454078,1236273,208147,757683,59902,40402,51502,29909,11483,10147,15233,16181,12214,4943,15647,4682,82264,63982,12696,78713,19647,8943,11291,8935,12353,9172
